Education Level,Specialization,Skills,Certifications,CGPA/Percentage,Recommended Career,combined_text
Master's,Science,"Machine Learning, Python",Tally ERP,60,ML Engineer,"Master's Science Machine Learning, Python Tally ERP"
Bachelor's,Finance,"Python, Accounting, Communication",CFA Level 1,93,Research Scientist,"Bachelor's Finance Python, Accounting, Communication CFA Level 1"
Matric,Psychology,"Counseling, Communication, Financial Analysis",Mental Health Basics,81,Business Analyst,"Matric Psychology Counseling, Communication, Financial Analysis Mental Health Basics"
Master's,Arts,"Accounting, Financial Analysis, SQL",Tally ERP,62,Research Scientist,"Master's Arts Accounting, Financial Analysis, SQL Tally ERP"
Matric,Computer Science,"Counseling, Marketing",,95,Software Engineer,
Bachelor's,Psychology,"SQL, Data Analysis",Google Data Analytics,73,ML Engineer,"Bachelor's Psychology SQL, Data Analysis Google Data Analytics"
Bachelor's,Science,"Counseling, Marketing",Tally ERP,88,Research Scientist,"Bachelor's Science Counseling, Marketing Tally ERP"
Bachelor's,Computer Science,Machine Learning,Creative Writing,87,Business Analyst,Bachelor's Computer Science Machine Learning Creative Writing
Bachelor's,Computer Science,"MS Office, Financial Analysis",Creative Writing,92,Software Engineer,"Bachelor's Computer Science MS Office, Financial Analysis Creative Writing"
Matric,Arts,"Accounting, Counseling",Digital Marketing,66,Software Engineer,"Matric Arts Accounting, Counseling Digital Marketing"
Intermediate,Computer Science,"Machine Learning, Counseling, MS Office",Creative Writing,86,Software Engineer,"Intermediate Computer Science Machine Learning, Counseling, MS Office Creative Writing"
Matric,Arts,"Data Analysis, MS Office, Counseling",CFA Level 1,71,Research Scientist,"Matric Arts Data Analysis, MS Office, Counseling CFA Level 1"
Matric,Science,"Communication, Marketing",Tally ERP,60,Software Engineer,"Matric Science Communication, Marketing Tally ERP"
Bachelor's,Commerce,"Counseling, Data Analysis, Marketing",Creative Writing,79,Business Analyst,"Bachelor's Commerce Counseling, Data Analysis, Marketing Creative Writing"
Matric,Finance,Python,Mental Health Basics,72,Software Engineer,Matric Finance Python Mental Health Basics
Master's,Commerce,"SQL, Financial Analysis, Python",CFA Level 1,75,Business Analyst,"Master's Commerce SQL, Financial Analysis, Python CFA Level 1"
Master's,Business,"Financial Analysis, Counseling, SQL",Tally ERP,93,Business Analyst,"Master's Business Financial Analysis, Counseling, SQL Tally ERP"
Matric,Finance,Communication,Google Data Analytics,79,Software Engineer,Matric Finance Communication Google Data Analytics
Master's,Arts,"Accounting, Financial Analysis, MS Office",CFA Level 1,82,ML Engineer,"Master's Arts Accounting, Financial Analysis, MS Office CFA Level 1"
Matric,Arts,"Python, Marketing",Digital Marketing,82,Business Analyst,"Matric Arts Python, Marketing Digital Marketing"
PhD,Commerce,"Accounting, Financial Analysis, Marketing",Google Data Analytics,69,ML Engineer,"PhD Commerce Accounting, Financial Analysis, Marketing Google Data Analytics"
Intermediate,Arts,"Accounting, Counseling, SQL",Google Data Analytics,75,Business Analyst,"Intermediate Arts Accounting, Counseling, SQL Google Data Analytics"
Matric,Science,"Counseling, SQL",AWS Certified,84,Research Scientist,"Matric Science Counseling, SQL AWS Certified"
Intermediate,Finance,"Python, Data Analysis, SQL",Google Data Analytics,64,Research Scientist,"Intermediate Finance Python, Data Analysis, SQL Google Data Analytics"
Bachelor's,Science,"Communication, Data Analysis, Accounting",Creative Writing,85,Software Engineer,"Bachelor's Science Communication, Data Analysis, Accounting Creative Writing"
Bachelor's,Arts,"Python, Data Analysis",Google Data Analytics,70,Research Scientist,"Bachelor's Arts Python, Data Analysis Google Data Analytics"
Master's,Engineering,"MS Office, Python, Financial Analysis",,74,Research Scientist,
Matric,Psychology,"Accounting, Data Analysis",Mental Health Basics,88,Research Scientist,"Matric Psychology Accounting, Data Analysis Mental Health Basics"
Matric,Finance,Data Analysis,Mental Health Basics,83,ML Engineer,Matric Finance Data Analysis Mental Health Basics
Bachelor's,Engineering,Accounting,Digital Marketing,62,ML Engineer,Bachelor's Engineering Accounting Digital Marketing
Bachelor's,Computer Science,"Python, Communication, Financial Analysis",AWS Certified,83,Software Engineer,"Bachelor's Computer Science Python, Communication, Financial Analysis AWS Certified"
Master's,Finance,"Accounting, Financial Analysis, SQL",Creative Writing,61,ML Engineer,"Master's Finance Accounting, Financial Analysis, SQL Creative Writing"
Matric,Arts,"Machine Learning, Marketing, Python",AWS Certified,79,Software Engineer,"Matric Arts Machine Learning, Marketing, Python AWS Certified"
Bachelor's,Engineering,Marketing,,72,Software Engineer,
Bachelor's,Science,"Communication, Machine Learning, Counseling",,95,ML Engineer,
Master's,Computer Science,Marketing,Mental Health Basics,82,Business Analyst,Master's Computer Science Marketing Mental Health Basics
Master's,Science,"Financial Analysis, Counseling, Python",Google Data Analytics,86,Business Analyst,"Master's Science Financial Analysis, Counseling, Python Google Data Analytics"
Matric,Commerce,"Accounting, Counseling, Marketing",Digital Marketing,77,ML Engineer,"Matric Commerce Accounting, Counseling, Marketing Digital Marketing"
Master's,Arts,Communication,,72,Research Scientist,
Master's,Science,"SQL, Financial Analysis",Mental Health Basics,79,ML Engineer,"Master's Science SQL, Financial Analysis Mental Health Basics"
Intermediate,Arts,Accounting,,79,ML Engineer,
Master's,Psychology,"Marketing, MS Office, SQL",,72,ML Engineer,
Master's,Engineering,"Python, Marketing",Creative Writing,60,Software Engineer,"Master's Engineering Python, Marketing Creative Writing"
Bachelor's,Commerce,"Data Analysis, Financial Analysis",Digital Marketing,66,Business Analyst,"Bachelor's Commerce Data Analysis, Financial Analysis Digital Marketing"
PhD,Commerce,"MS Office, Communication",Google Data Analytics,76,Research Scientist,"PhD Commerce MS Office, Communication Google Data Analytics"
PhD,Engineering,"Python, Financial Analysis, Machine Learning",Mental Health Basics,80,ML Engineer,"PhD Engineering Python, Financial Analysis, Machine Learning Mental Health Basics"
Intermediate,Arts,"Machine Learning, SQL, Accounting",Creative Writing,81,Software Engineer,"Intermediate Arts Machine Learning, SQL, Accounting Creative Writing"
Master's,Finance,"Python, Accounting, Marketing",Mental Health Basics,76,Software Engineer,"Master's Finance Python, Accounting, Marketing Mental Health Basics"
Matric,Finance,"MS Office, Communication, Financial Analysis",Digital Marketing,78,Research Scientist,"Matric Finance MS Office, Communication, Financial Analysis Digital Marketing"
Matric,Business,"Communication, Machine Learning, Accounting",AWS Certified,71,ML Engineer,"Matric Business Communication, Machine Learning, Accounting AWS Certified"
Intermediate,Engineering,"Data Analysis, MS Office",Google Data Analytics,79,ML Engineer,"Intermediate Engineering Data Analysis, MS Office Google Data Analytics"
Bachelor's,Business,Python,CFA Level 1,86,Business Analyst,Bachelor's Business Python CFA Level 1
Matric,Engineering,MS Office,AWS Certified,84,ML Engineer,Matric Engineering MS Office AWS Certified
Intermediate,Business,"Counseling, SQL",Digital Marketing,92,Research Scientist,"Intermediate Business Counseling, SQL Digital Marketing"
Intermediate,Commerce,"Counseling, Financial Analysis, Accounting",CFA Level 1,64,Business Analyst,"Intermediate Commerce Counseling, Financial Analysis, Accounting CFA Level 1"
Matric,Commerce,Accounting,Digital Marketing,78,Software Engineer,Matric Commerce Accounting Digital Marketing
Matric,Computer Science,"MS Office, Data Analysis, Financial Analysis",AWS Certified,88,Software Engineer,"Matric Computer Science MS Office, Data Analysis, Financial Analysis AWS Certified"
Intermediate,Commerce,Marketing,AWS Certified,83,Software Engineer,Intermediate Commerce Marketing AWS Certified
Matric,Psychology,"Counseling, MS Office, Accounting",Creative Writing,89,Software Engineer,"Matric Psychology Counseling, MS Office, Accounting Creative Writing"
PhD,Engineering,"Python, Data Analysis",Google Data Analytics,88,Software Engineer,"PhD Engineering Python, Data Analysis Google Data Analytics"
Master's,Arts,"Python, SQL",Creative Writing,76,ML Engineer,"Master's Arts Python, SQL Creative Writing"
Matric,Psychology,"Machine Learning, Marketing, Data Analysis",Mental Health Basics,90,Software Engineer,"Matric Psychology Machine Learning, Marketing, Data Analysis Mental Health Basics"
Master's,Engineering,Machine Learning,,70,ML Engineer,
Bachelor's,Commerce,"Financial Analysis, Communication, MS Office",Mental Health Basics,63,ML Engineer,"Bachelor's Commerce Financial Analysis, Communication, MS Office Mental Health Basics"
Matric,Engineering,"Financial Analysis, Machine Learning",Mental Health Basics,74,Software Engineer,"Matric Engineering Financial Analysis, Machine Learning Mental Health Basics"
Matric,Computer Science,Python,Tally ERP,87,ML Engineer,Matric Computer Science Python Tally ERP
PhD,Engineering,"Communication, Data Analysis, Financial Analysis",Tally ERP,88,Business Analyst,"PhD Engineering Communication, Data Analysis, Financial Analysis Tally ERP"
Intermediate,Commerce,"Marketing, Accounting",Tally ERP,77,ML Engineer,"Intermediate Commerce Marketing, Accounting Tally ERP"
Intermediate,Arts,"MS Office, Python, Counseling",Creative Writing,76,Business Analyst,"Intermediate Arts MS Office, Python, Counseling Creative Writing"
Intermediate,Computer Science,Python,CFA Level 1,71,Business Analyst,Intermediate Computer Science Python CFA Level 1
Bachelor's,Business,Communication,Mental Health Basics,73,ML Engineer,Bachelor's Business Communication Mental Health Basics
Master's,Business,Counseling,,73,Software Engineer,
Intermediate,Arts,Communication,,78,ML Engineer,
PhD,Arts,Accounting,Tally ERP,81,Research Scientist,PhD Arts Accounting Tally ERP
Matric,Commerce,Data Analysis,CFA Level 1,66,Software Engineer,Matric Commerce Data Analysis CFA Level 1
Bachelor's,Engineering,"MS Office, Counseling",,67,ML Engineer,
Matric,Science,"MS Office, Marketing",Google Data Analytics,68,Software Engineer,"Matric Science MS Office, Marketing Google Data Analytics"
Bachelor's,Finance,"Financial Analysis, Machine Learning",Creative Writing,94,Business Analyst,"Bachelor's Finance Financial Analysis, Machine Learning Creative Writing"
PhD,Computer Science,SQL,,76,Research Scientist,
PhD,Business,"Financial Analysis, Data Analysis",AWS Certified,94,ML Engineer,"PhD Business Financial Analysis, Data Analysis AWS Certified"
Intermediate,Business,"MS Office, Python, Marketing",Mental Health Basics,75,Business Analyst,"Intermediate Business MS Office, Python, Marketing Mental Health Basics"
PhD,Science,Financial Analysis,Mental Health Basics,73,Research Scientist,PhD Science Financial Analysis Mental Health Basics
Master's,Business,"Data Analysis, MS Office",CFA Level 1,82,Business Analyst,"Master's Business Data Analysis, MS Office CFA Level 1"
Intermediate,Arts,"Marketing, SQL, Financial Analysis",Creative Writing,93,Research Scientist,"Intermediate Arts Marketing, SQL, Financial Analysis Creative Writing"
Master's,Arts,Communication,Creative Writing,85,ML Engineer,Master's Arts Communication Creative Writing
Intermediate,Arts,Financial Analysis,Google Data Analytics,67,Business Analyst,Intermediate Arts Financial Analysis Google Data Analytics
Bachelor's,Commerce,Data Analysis,AWS Certified,64,Research Scientist,Bachelor's Commerce Data Analysis AWS Certified
Matric,Science,"Python, Data Analysis",AWS Certified,73,Software Engineer,"Matric Science Python, Data Analysis AWS Certified"
Bachelor's,Engineering,Machine Learning,Creative Writing,75,ML Engineer,Bachelor's Engineering Machine Learning Creative Writing
Bachelor's,Arts,"Machine Learning, Data Analysis, SQL",CFA Level 1,87,Software Engineer,"Bachelor's Arts Machine Learning, Data Analysis, SQL CFA Level 1"
Master's,Business,"Machine Learning, SQL",CFA Level 1,70,Software Engineer,"Master's Business Machine Learning, SQL CFA Level 1"
PhD,Psychology,"Python, Machine Learning",Mental Health Basics,81,Business Analyst,"PhD Psychology Python, Machine Learning Mental Health Basics"
Bachelor's,Arts,"Marketing, Machine Learning, Communication",CFA Level 1,66,Software Engineer,"Bachelor's Arts Marketing, Machine Learning, Communication CFA Level 1"
Master's,Science,SQL,CFA Level 1,86,Software Engineer,Master's Science SQL CFA Level 1
Master's,Science,"Accounting, Counseling, Communication",,76,Business Analyst,
Master's,Business,"MS Office, Python, Marketing",,90,ML Engineer,
Bachelor's,Arts,Counseling,,71,Software Engineer,
Master's,Computer Science,"Marketing, Financial Analysis",AWS Certified,60,Research Scientist,"Master's Computer Science Marketing, Financial Analysis AWS Certified"
Intermediate,Computer Science,Accounting,Digital Marketing,83,Research Scientist,Intermediate Computer Science Accounting Digital Marketing
Intermediate,Science,Marketing,Creative Writing,94,Research Scientist,Intermediate Science Marketing Creative Writing
Intermediate,Computer Science,"Machine Learning, Communication",Google Data Analytics,73,ML Engineer,"Intermediate Computer Science Machine Learning, Communication Google Data Analytics"
Master's,Commerce,"Financial Analysis, Data Analysis",Mental Health Basics,72,Business Analyst,"Master's Commerce Financial Analysis, Data Analysis Mental Health Basics"
Bachelor's,Psychology,Marketing,Google Data Analytics,80,Research Scientist,Bachelor's Psychology Marketing Google Data Analytics
Bachelor's,Engineering,"Data Analysis, MS Office",AWS Certified,76,Software Engineer,"Bachelor's Engineering Data Analysis, MS Office AWS Certified"
Master's,Psychology,"Accounting, Financial Analysis",,70,Research Scientist,
Bachelor's,Commerce,"Data Analysis, Communication, SQL",Tally ERP,92,ML Engineer,"Bachelor's Commerce Data Analysis, Communication, SQL Tally ERP"
Matric,Finance,"MS Office, Python",,73,Software Engineer,
PhD,Computer Science,"Communication, Marketing, Python",Creative Writing,76,Software Engineer,"PhD Computer Science Communication, Marketing, Python Creative Writing"
PhD,Finance,Python,,63,Software Engineer,
PhD,Computer Science,MS Office,Mental Health Basics,80,ML Engineer,PhD Computer Science MS Office Mental Health Basics
Bachelor's,Arts,"Marketing, Accounting, SQL",AWS Certified,79,Software Engineer,"Bachelor's Arts Marketing, Accounting, SQL AWS Certified"
PhD,Commerce,"MS Office, Accounting",CFA Level 1,71,Research Scientist,"PhD Commerce MS Office, Accounting CFA Level 1"
Master's,Finance,"Financial Analysis, Marketing",Tally ERP,70,Business Analyst,"Master's Finance Financial Analysis, Marketing Tally ERP"
Bachelor's,Finance,"Counseling, Python",Tally ERP,82,Software Engineer,"Bachelor's Finance Counseling, Python Tally ERP"
Master's,Arts,Counseling,,82,Research Scientist,
PhD,Science,"Communication, Marketing",Creative Writing,86,Business Analyst,"PhD Science Communication, Marketing Creative Writing"
Master's,Computer Science,"Counseling, Marketing, Machine Learning",,92,Business Analyst,
Bachelor's,Engineering,"Machine Learning, Marketing, Financial Analysis",AWS Certified,71,Research Scientist,"Bachelor's Engineering Machine Learning, Marketing, Financial Analysis AWS Certified"
Bachelor's,Engineering,Counseling,Creative Writing,60,Research Scientist,Bachelor's Engineering Counseling Creative Writing
Bachelor's,Science,"Data Analysis, Python",CFA Level 1,84,ML Engineer,"Bachelor's Science Data Analysis, Python CFA Level 1"
Bachelor's,Engineering,Python,Google Data Analytics,61,Software Engineer,Bachelor's Engineering Python Google Data Analytics
Master's,Commerce,"Machine Learning, Marketing, Data Analysis",AWS Certified,62,Software Engineer,"Master's Commerce Machine Learning, Marketing, Data Analysis AWS Certified"
Master's,Science,Data Analysis,Mental Health Basics,78,Software Engineer,Master's Science Data Analysis Mental Health Basics
Bachelor's,Engineering,SQL,Google Data Analytics,63,ML Engineer,Bachelor's Engineering SQL Google Data Analytics
PhD,Arts,"MS Office, Machine Learning, Counseling",Mental Health Basics,87,Software Engineer,"PhD Arts MS Office, Machine Learning, Counseling Mental Health Basics"
Intermediate,Commerce,"Accounting, MS Office, SQL",Mental Health Basics,65,Business Analyst,"Intermediate Commerce Accounting, MS Office, SQL Mental Health Basics"
PhD,Engineering,"Accounting, SQL, MS Office",,63,ML Engineer,
Matric,Commerce,"MS Office, Marketing",Creative Writing,90,Business Analyst,"Matric Commerce MS Office, Marketing Creative Writing"
Matric,Science,"Data Analysis, Accounting, MS Office",AWS Certified,86,ML Engineer,"Matric Science Data Analysis, Accounting, MS Office AWS Certified"
Matric,Psychology,Data Analysis,,65,ML Engineer,
PhD,Commerce,Financial Analysis,Digital Marketing,60,Software Engineer,PhD Commerce Financial Analysis Digital Marketing
PhD,Psychology,"MS Office, Communication, Python",,91,Research Scientist,
Matric,Business,"SQL, Financial Analysis, Python",Tally ERP,75,Research Scientist,"Matric Business SQL, Financial Analysis, Python Tally ERP"
PhD,Finance,"Financial Analysis, Data Analysis, Communication",Mental Health Basics,68,Business Analyst,"PhD Finance Financial Analysis, Data Analysis, Communication Mental Health Basics"
PhD,Engineering,"Accounting, Data Analysis",AWS Certified,71,Research Scientist,"PhD Engineering Accounting, Data Analysis AWS Certified"
Master's,Computer Science,"Python, Communication, SQL",CFA Level 1,72,Research Scientist,"Master's Computer Science Python, Communication, SQL CFA Level 1"
Intermediate,Science,Financial Analysis,AWS Certified,90,Software Engineer,Intermediate Science Financial Analysis AWS Certified
Master's,Psychology,Financial Analysis,Tally ERP,67,Software Engineer,Master's Psychology Financial Analysis Tally ERP
Matric,Science,Communication,,63,Business Analyst,
Matric,Arts,"Machine Learning, Financial Analysis",Tally ERP,66,Business Analyst,"Matric Arts Machine Learning, Financial Analysis Tally ERP"
Intermediate,Engineering,Data Analysis,Tally ERP,80,Business Analyst,Intermediate Engineering Data Analysis Tally ERP
Intermediate,Computer Science,"SQL, Accounting, Python",,62,Software Engineer,
Bachelor's,Science,"SQL, Communication, Financial Analysis",Mental Health Basics,63,ML Engineer,"Bachelor's Science SQL, Communication, Financial Analysis Mental Health Basics"
Master's,Computer Science,"Communication, Data Analysis",,76,Software Engineer,
Bachelor's,Business,"Communication, Counseling",Digital Marketing,68,ML Engineer,"Bachelor's Business Communication, Counseling Digital Marketing"
Master's,Computer Science,Marketing,Tally ERP,78,ML Engineer,Master's Computer Science Marketing Tally ERP
Matric,Engineering,"Accounting, Counseling, SQL",Tally ERP,60,Research Scientist,"Matric Engineering Accounting, Counseling, SQL Tally ERP"
Bachelor's,Computer Science,"Counseling, Financial Analysis",Tally ERP,74,Research Scientist,"Bachelor's Computer Science Counseling, Financial Analysis Tally ERP"
Master's,Psychology,"Accounting, Counseling",AWS Certified,70,Software Engineer,"Master's Psychology Accounting, Counseling AWS Certified"
Bachelor's,Computer Science,"Counseling, Communication",Tally ERP,90,Software Engineer,"Bachelor's Computer Science Counseling, Communication Tally ERP"
Matric,Engineering,Communication,Mental Health Basics,64,ML Engineer,Matric Engineering Communication Mental Health Basics
Master's,Science,"Data Analysis, Communication, Machine Learning",,86,Software Engineer,
Matric,Psychology,"Financial Analysis, SQL",Digital Marketing,83,Research Scientist,"Matric Psychology Financial Analysis, SQL Digital Marketing"
Matric,Psychology,"Communication, Counseling",Creative Writing,85,Research Scientist,"Matric Psychology Communication, Counseling Creative Writing"
Master's,Business,"Marketing, Counseling, Machine Learning",Digital Marketing,93,Business Analyst,"Master's Business Marketing, Counseling, Machine Learning Digital Marketing"
Matric,Commerce,"MS Office, Data Analysis, Accounting",Tally ERP,72,Business Analyst,"Matric Commerce MS Office, Data Analysis, Accounting Tally ERP"
Matric,Science,Python,Google Data Analytics,70,Business Analyst,Matric Science Python Google Data Analytics
Master's,Finance,"Accounting, SQL",Mental Health Basics,86,ML Engineer,"Master's Finance Accounting, SQL Mental Health Basics"
Bachelor's,Engineering,Communication,Tally ERP,63,Business Analyst,Bachelor's Engineering Communication Tally ERP
PhD,Finance,"Data Analysis, Counseling, Financial Analysis",CFA Level 1,79,Research Scientist,"PhD Finance Data Analysis, Counseling, Financial Analysis CFA Level 1"
Master's,Engineering,"Communication, Marketing, Counseling",Mental Health Basics,65,Research Scientist,"Master's Engineering Communication, Marketing, Counseling Mental Health Basics"
Master's,Engineering,Python,CFA Level 1,71,Business Analyst,Master's Engineering Python CFA Level 1
Matric,Finance,Python,AWS Certified,73,Business Analyst,Matric Finance Python AWS Certified
Master's,Science,"MS Office, Python, Financial Analysis",CFA Level 1,83,Research Scientist,"Master's Science MS Office, Python, Financial Analysis CFA Level 1"
Intermediate,Psychology,"Data Analysis, SQL",,87,Software Engineer,
Master's,Psychology,"Python, Communication, Data Analysis",CFA Level 1,90,Research Scientist,"Master's Psychology Python, Communication, Data Analysis CFA Level 1"
Matric,Psychology,"Communication, Counseling, Python",,89,Research Scientist,
Matric,Science,Marketing,Creative Writing,63,Business Analyst,Matric Science Marketing Creative Writing
PhD,Arts,Marketing,Digital Marketing,75,ML Engineer,PhD Arts Marketing Digital Marketing
PhD,Computer Science,"MS Office, SQL, Counseling",Mental Health Basics,77,Business Analyst,"PhD Computer Science MS Office, SQL, Counseling Mental Health Basics"
PhD,Business,Accounting,,78,Research Scientist,
Matric,Commerce,Accounting,CFA Level 1,88,ML Engineer,Matric Commerce Accounting CFA Level 1
Intermediate,Science,"SQL, Python, MS Office",,94,Business Analyst,
Matric,Arts,Counseling,CFA Level 1,63,Business Analyst,Matric Arts Counseling CFA Level 1
Matric,Engineering,Financial Analysis,Creative Writing,83,Software Engineer,Matric Engineering Financial Analysis Creative Writing
Master's,Psychology,"Financial Analysis, Counseling, Communication",AWS Certified,65,Software Engineer,"Master's Psychology Financial Analysis, Counseling, Communication AWS Certified"
Matric,Business,"Financial Analysis, Data Analysis",Tally ERP,93,Research Scientist,"Matric Business Financial Analysis, Data Analysis Tally ERP"
Matric,Finance,Marketing,,86,Business Analyst,
Intermediate,Engineering,"Counseling, MS Office",Tally ERP,94,Business Analyst,"Intermediate Engineering Counseling, MS Office Tally ERP"
PhD,Finance,Machine Learning,Digital Marketing,64,Research Scientist,PhD Finance Machine Learning Digital Marketing
Bachelor's,Arts,Data Analysis,Creative Writing,86,ML Engineer,Bachelor's Arts Data Analysis Creative Writing
Master's,Finance,"Machine Learning, Data Analysis",Creative Writing,68,Business Analyst,"Master's Finance Machine Learning, Data Analysis Creative Writing"
Intermediate,Engineering,Accounting,Digital Marketing,76,ML Engineer,Intermediate Engineering Accounting Digital Marketing
Bachelor's,Computer Science,"Communication, Accounting",Digital Marketing,69,Software Engineer,"Bachelor's Computer Science Communication, Accounting Digital Marketing"
Intermediate,Commerce,Counseling,Digital Marketing,62,ML Engineer,Intermediate Commerce Counseling Digital Marketing
Bachelor's,Science,"SQL, Marketing, Communication",Tally ERP,71,Software Engineer,"Bachelor's Science SQL, Marketing, Communication Tally ERP"
Intermediate,Business,MS Office,Digital Marketing,85,Software Engineer,Intermediate Business MS Office Digital Marketing
Intermediate,Arts,"Python, SQL, Data Analysis",Tally ERP,89,Business Analyst,"Intermediate Arts Python, SQL, Data Analysis Tally ERP"
Intermediate,Science,"Marketing, Accounting, Data Analysis",CFA Level 1,92,ML Engineer,"Intermediate Science Marketing, Accounting, Data Analysis CFA Level 1"
Master's,Arts,"Machine Learning, Financial Analysis, Counseling",Creative Writing,69,Business Analyst,"Master's Arts Machine Learning, Financial Analysis, Counseling Creative Writing"
PhD,Finance,"Machine Learning, Marketing, Counseling",CFA Level 1,63,ML Engineer,"PhD Finance Machine Learning, Marketing, Counseling CFA Level 1"
Bachelor's,Computer Science,"Financial Analysis, Marketing",Tally ERP,83,Research Scientist,"Bachelor's Computer Science Financial Analysis, Marketing Tally ERP"
PhD,Science,"Counseling, Marketing",Tally ERP,82,ML Engineer,"PhD Science Counseling, Marketing Tally ERP"
Intermediate,Engineering,Python,,81,Software Engineer,
Bachelor's,Engineering,"Counseling, MS Office",Creative Writing,72,Software Engineer,"Bachelor's Engineering Counseling, MS Office Creative Writing"
Bachelor's,Arts,Data Analysis,Digital Marketing,69,Research Scientist,Bachelor's Arts Data Analysis Digital Marketing
Bachelor's,Arts,Machine Learning,Digital Marketing,81,Research Scientist,Bachelor's Arts Machine Learning Digital Marketing
Matric,Computer Science,Counseling,CFA Level 1,60,Software Engineer,Matric Computer Science Counseling CFA Level 1
Bachelor's,Psychology,Accounting,AWS Certified,67,Research Scientist,Bachelor's Psychology Accounting AWS Certified
Intermediate,Finance,"Financial Analysis, Communication",Creative Writing,80,Software Engineer,"Intermediate Finance Financial Analysis, Communication Creative Writing"
Bachelor's,Science,Python,CFA Level 1,92,Software Engineer,Bachelor's Science Python CFA Level 1
Bachelor's,Business,Machine Learning,Google Data Analytics,69,Software Engineer,Bachelor's Business Machine Learning Google Data Analytics
Master's,Business,Financial Analysis,Tally ERP,95,ML Engineer,Master's Business Financial Analysis Tally ERP
Master's,Business,"Machine Learning, Accounting",Mental Health Basics,64,ML Engineer,"Master's Business Machine Learning, Accounting Mental Health Basics"
Master's,Computer Science,Communication,Creative Writing,61,ML Engineer,Master's Computer Science Communication Creative Writing
Bachelor's,Arts,"Financial Analysis, Machine Learning",Mental Health Basics,78,Software Engineer,"Bachelor's Arts Financial Analysis, Machine Learning Mental Health Basics"
Intermediate,Psychology,"Machine Learning, Counseling, MS Office",Mental Health Basics,77,ML Engineer,"Intermediate Psychology Machine Learning, Counseling, MS Office Mental Health Basics"
Bachelor's,Psychology,"Data Analysis, Accounting",,76,ML Engineer,
PhD,Engineering,SQL,CFA Level 1,62,ML Engineer,PhD Engineering SQL CFA Level 1
PhD,Engineering,"Marketing, Financial Analysis, Machine Learning",AWS Certified,65,ML Engineer,"PhD Engineering Marketing, Financial Analysis, Machine Learning AWS Certified"
